tweet_id,retweet_count,favorite_count
777684233540206592,2702,10401
777641927919427584,3885,0
777621514455814149,2320,8055
777189768882946048,3947,13065
776819012571455488,12437,0
776813020089548800,1107,4531
776477788987613185,2534,8099
776249906839351296,8370,0
776218204058357768,14545,27617
776201521193218049,2313,8868
776113305656188928,3993,10913
776088319444877312,141,1680
775898661951791106,15366,0
775842724423557120,2439,10812
775733305207554048,3672,12811
775729183532220416,4241,12033
775364825476165632,2695,6828
775350846108426240,3594,9384
775085132600442880,4318,14383
774757898236878852,1635,7959
774639387460112384,1599,6251
774314403806253056,5036,20161
773985732834758656,3551,9970
773922284943896577,1608,5943
773704687002451968,1479,6105
773670353721753600,1214,4952
773547596996571136,5628,20463
773336787167145985,4616,0
773308824254029826,6887,21555
773247561583001600,2971,8722
773191612633579521,3767,9203
772877495989305348,3551,7905
772826264096874500,2186,7419
772615324260794368,3086,0
772581559778025472,1570,5986
772193107915964416,1271,5566
772152991789019136,1041,3512
772117678702071809,679,3486
772114945936949249,436,2531
772102971039580160,853,3695
771908950375665664,1738,6066
771770456517009408,3116,11021
771500966810099713,2402,7619
771380798096281600,4616,9734
771171053431250945,6799,0
771136648247640064,2689,8453
771102124360998913,1317,5747
771014301343748096,1527,6350
770787852854652928,1096,4534
770772759874076672,1311,4784
770655142660169732,1655,6776
770414278348247044,1909,5832
770293558247038976,1338,5736
770093767776997377,2786,0
770069151037685760,2109,7000
769940425801170949,8726,28760
769695466921623552,1545,5921
769335591808995329,7075,0
769212283578875904,1582,4997
768970937022709760,5928,13144
768909767477751808,2416,0
768855141948723200,814,3859
768609597686943744,1088,3779
768596291618299904,1180,4655
768554158521745409,5332,0
768473857036525572,3129,12572
768193404517830656,3237,9997
767884188863397888,1257,4388
767754930266464257,4909,14704
767500508068192258,2123,6901
767191397493538821,3438,11318
767122157629476866,2618,9381
766793450729734144,1238,4653
766714921925144576,342,2425
766693177336135680,723,3715
766423258543644672,1440,5527
766313316352462849,1718,6232
766078092750233600,2396,0
766069199026450432,766,3857
766008592277377025,454,3464
765719909049503744,1971,6658
765669560888528897,1123,4763
765395769549590528,3080,24626
765371061932261376,1980,6546
765222098633691136,3086,10720
764857477905154048,1634,5966
764259802650378240,1377,5519
763956972077010945,49,723
763837565564780549,3770,11537
763183847194451968,1340,4962
763167063695355904,2724,0
763103485927849985,2095,6779
762699858130116608,3269,11140
762471784394268675,5842,10347
762464539388485633,3785,9473
762316489655476224,1024,4420
762035686371364864,14152,29341
761976711479193600,1806,4951
761750502866649088,3555,0
761745352076779520,788,3943
761672994376806400,26436,45541
761599872357261312,1087,3805
761371037149827077,16492,0
761334018830917632,1327,4733
761292947749015552,992,4100
761227390836215808,1430,4882
761004547850530816,3188,10440
760893934457552897,877,3503
760656994973933572,1729,6058
760641137271070720,1177,4584
760539183865880579,3298,6953
760521673607086080,1270,3858
760290219849637889,10481,24614
760252756032651264,790,3653
760190180481531904,1628,5267
760153949710192640,29,0
759943073749200896,1910,5439
759846353224826880,1783,6176
759793422261743616,1750,5478
759557299618865152,1097,4328
759447681597108224,2246,7768
759446261539934208,452,1536
759197388317847553,1792,5615
759159934323924993,1061,0
759099523532779520,3776,13391
759047813560868866,1827,5953
